,body,school,class_of
0,"
Since UCB does some early admits, I am starting this thread early. Please use the template below and no discussions, just post your stats.
The discussion thread is linked here: https://talk.collegeconfidential.com/university-california-berkeley/2166051-ucb-freshman-class-of-2024-discussion.html
Remove the a before posting your stats.
[aB][asize=4][acolor=#008000]Decision: Admitted[/color][/size][/b]
[aB][asize=4][acolor=#FFA500]Decision: Waitlisted[/color][/size][/b]
[aB][asize=4][acolor=#FF0000]Decision: Rejected[/color][/size][/b]
Merit scholarships awarded (if any):
Major (and division if applicable) applied to:
Academic stats:
Calculate your GPAs with https://rogerhub.com/gpa-calculator-uc/
UC Unweighted GPA:
UC Capped Weighted GPA:
UC Fully Weighted GPA:
ELC (top 9%):
Comments about course load (including senior year):
SAT (total and sections):
ACT (total and sections):
SAT Subject Tests (if any):
AP exams (scores in parentheses):
IB exams (score in parentheses):
Major Awards (USAMO, Intel etc.):
Subjective:
For the following, indicate level of recognition or award (e.g. local, state, national, international) and/or leadership roles:
Extracurriculars:
Job/Work Experience:
Volunteer/Community service:
Summer Activities:
Personal insight essay topics:
Letters of recommendation submitted:
Demographics
State (if domestic applicant):
Country (if international applicant):
High school type:
Gender:
Race/ethnicity:
Applied for need-based financial aid?:
Pell grant eligible?:
Maximum Pell grant (FAFSA EFC = $0)?:
Highest level of parent education:
Living with both, one, or no parents?:
Relation to alumni of college:
Reflection
Strengths:
Weaknesses:
Why you think you were accepted/waitlisted/rejected:
Where else were you accepted/waitlisted/rejected:
General Comments: ",Berkeley,2024
1,"
Decision: Admitted
Merit scholarships awarded (if any):
Regents invitation (In the process of interviewing)
Major (and division if applicable) applied to:
L&S - Undeclared
Academic stats:
Calculate your GPAs with https://rogerhub.com/gpa-calculator-uc/
UC Unweighted GPA: 4.0
UC Capped Weighted GPA: 4.67 (I think this is wrong but it's what rogerhub gave me)
UC Fully Weighted GPA: 4.83 (Accurate. Same as my own calculation)
Top 10% of my class. Rank 8
Comments about course load (including senior year):
Course load continuously increased. I took 11 out of 12 possible APs and every honors course I could.
SAT (total and sections): N/A
ACT (total and sections): 33
SAT Subject Tests (if any): 800 Math
Major Awards (USAMO, Intel etc.): None
Subjective:
For the following, indicate level of recognition or award (e.g. local, state, national, international) and/or leadership roles:
Extracurriculars:
Letters of recommendation submitted:
None
Demographics:
State (if domestic applicant): In-State (California)
High school type: Public
Gender: Male
Race/ethnicity: Asian - Doesn't matter for UCs though.
Applied for need-based financial aid?: No
Reflection
ECs are what got me in for sure. I don't have a flawless record and that's not what you should be telling your kids to spend their time on. Tell your kids to find something they love to do and follow it. Every EC doesn't have to be a leadership position in a club or an award related to academics. They want to see passion outside of the realm of academia.
Strengths: ECs and GPA
Weaknesses: ACT is just average.
Why you think you were accepted/waitlisted/rejected:
ECs
Where else were you accepted/waitlisted/rejected:
UCLA regents invitation. Not guaranteed admission like UCB but it's essentially a likely. ",Berkeley,2024
2,"
DECISION: Admitted
Merit scholarships awarded (if any): Invited to apply for Regent's Scholarship (interviewing in a few weeks)
Major (and division if applicable) applied to: Political Science
Academic stats:
UC Unweighted GPA: 3.8
UC Capped Weighted GPA: 4.07
UC Fully Weighted GPA: 4.27
ELC (top 9%): Yes, top 4%
Comments about course load (including senior year): Taking 5 AP classes which is one less than the max available for me but is a lot for my school and it is more rigorous than my course load last year by one
ACT (total and sections): 32 (Math: 30, English: 30, Reading: 33, Science: 33)
AP exams (scores in parentheses): 4's in APUSH, AP Euro, and AP Calc BC and 3's in AP English Lang and AP Physics C
Subjective:
Extracurriculars: SeaPerch robotics (President and placed 7th at the International competition), Science Olympiad (president, founder, competitor, went to States), Student Body Leadership (Community Service Commissioner, Treasurer), Golf (Captain), Volleyball (Captain), Diving (captain and 1st in the league), Mock Trial (witness), Music (wrote and recorded my own album)
Job/Work Experience: Designed a nighttime surveillance robot for the county jail with some fellow students
Volunteer/Community service: Over 160 hours of community service mainly for school activities, helping younger students, and organizations that help cancer patients
Summer Activities: Studied abroad in France over the summer before my junior year
Personal insight essay topics: I wrote my essays about my struggle with a health condition, my brother's autism, studying abroad, and Science Olympiad
Demographics
State (if domestic applicant): California
High school type: Public
Gender: Female
Race/ethnicity: White
Applied for need-based financial aid?: Yes
Pell grant eligible?: Yes
Highest level of parent education: Graduate
Living with both, one, or no parents?: Living with both (divorced)
Relation to alumni of college: Both my parents went to Cal and some other family members have
Reflection
Strengths: I think my extracurriculars are definitely my strengths because my scores and grades aren't very good, my activities show a lot of leadership and achievement though I explained in my essays that I struggle with a health condition that affects my school work
Weaknesses: Test scores and GPA
Why you think you were accepted/waitlisted/rejected: Honestly don't know
Where else were you accepted/waitlisted/rejected: Accepted to SDSU, SFSU so far and deferred from Northeastern
General Comments: I didn't think I was going to get in with the regular pool much less early and my stats just go to show that you don't need perfect scores to get in ",Berkeley,2024
3,"
Decision: Admitted
Merit scholarships awarded (if any): Invited to apply for Regent's Scholarship
Major: EECS
UC Unweighted GPA: 4.0
UC Capped Weighted GPA: 4.29
UC Fully Weighted GPA: 4.75
SAT : 1550 (800M, 750E)
SAT Subject Tests: 800 Math 2, 780 Physics
AP exams: 15 APs including senior year, 10 5s
Awards: Rensselaer Medal, Science Fair regional winner, Presidential Gold Award for Service, National AP Scholar, National Merit Semifinalist, handful of debate and robotics awards
Extracurriculars:
- FRC Robotics (Programming Director)
- VEX Robotics (President)
- Math Team (President)
- Lincoln-Douglas Debate (Chair)
- Independent Science Research
- Dead Poets Society (Founder)
- ASB (Homeroom Rep)
- Choir
- NHS
Job/Work Experience:
- Math and reading teacher for elementary schoolers
Volunteer/Community service:
- 250+ hours tutoring and counseling kids
Summer Activities:
- UC Cosmos
- Took AP Stats and AP PhysC’s at a community college
Personal insight essay topics: Robotics, advocacy
Letters of recommendation submitted: Calc AB/BC teacher, English teacher
Demographics
State (if domestic applicant): CA
High school type: Private, all-girls
Gender: Female
Race/ethnicity: Asian
Applied for need-based financial aid?: No
Reflection
Strengths: Stats and STEM ECs
Weaknesses: nonSTEM ECs and essays
Why you think you were accepted: I'm a stereotypical EECS student
Where else were you accepted: UIUC, Purdue EA ",Berkeley,2024
4,"
Decision: Admitted
Merit scholarships awarded (if any): Regents and Chancellors Scholarship Nominee
Major (and division if applicable) applied to: Philosophy (L&S)
Academic stats:
UC Unweighted GPA: 3.9
UC Fully Weighted GPA: 4.4
ELC (top 9%): 1/31
Comments about course load (including senior year):
SAT (total and sections): 650M/650E/17W
SAT Subject Tests (if any): didn't submit
NO APs or IB Courses but I did do Dual Enrollment:
Since my freshman year I have taken around 30 classes, will have around 90 units when I graduate from high school this fall, and I am getting my A.A. in three different disciplines this May.
Subjective:
Extracurriculars: Despite my other activities, my other extracurriculars were pretty standard (Yearbook-editor-in-chief, some regional and state medals in SkillsUSA, Acadec all four years, PHAST all four years, etc.).
Job/Work Experience: I have two jobs -
Working as a crew member at McDonalds as opener (4am shifts) 25 hrs/wk
Mentoring at a robotics shop (paid) 20 hrs/wk
Volunteer/Community service:
I've accumulated over 300 hours of recorded community service helping at robotics events and other local activities. I received the Presidential Volunteer Service Award my Sophomore year in Louisville, Kentucky.
Summer Activities:
All four years of high school I have volunteered at my local boys and girls club as a Junior Volunteer and taken summer courses at my local college.
Personal insight essay topics: I talked about robotics, going to college at an early age, philosophy of science, my associates degrees, working at 4 am.
Letters of recommendation submitted: No letters submitted.
Demographics
State (if domestic applicant): CA
High school type: Charter School
Gender: Male
Race/ethnicity: Mexican
Applied for need-based financial aid?: Yes
Pell grant eligible?: Yes
Highest level of parent education: Some College
Living with both, one, or no parents?: BOTH
Relation to alumni of college: None
Reflection
Strengths: I thought my main strengths were my EC's and having numerous responsibilities outside of school.
Weaknesses: Definitely my scores, but it just goes to show to do what you really care about.
Why you think you were accepted/waitlisted/rejected: I think I was admitted early because (like I emphasized in my essays) I think I did what I enjoyed, even if it was different. I hosted many local, regional, and a state competition for VEX robotics with an old advisor my Sunior and Senior year, which was a huge commitment, but I did because I loved it. I think that set me apart from a lot of students who simply put ""Robotics Competitor."" I did lead my team to Worlds in Kentucky my Freshman year.
General Comments: Scores aren't everything, but don't totally disregard them.  ",Berkeley,2024
5,"
Decision: Admitted
Merit scholarships awarded (if any): Regents and Chancellor’s Scholarship finalist
Major (and division if applicable) applied to:
Political Science - L&S
Academic stats:
UC Unweighted GPA:3.92
UC Capped Weighted GPA:4.25
UC Fully Weighted GPA:4.45
ELC (top 9%):yes
Comments about course load (including senior year):
SAT (total and sections): did not take
ACT (total and sections):34C (36R/35E/35S/30M/11 writing)
SAT Subject Tests (if any): Lit 720
AP exams (scores in parentheses): 10th:AP World (5), APES (4) 11th: Psych (5), AP Lang (5), APUSH (4), AP Spanish (3) 12th: AP Lit, AP Stats, AP Govt, AP Micro
Senior year courses: DE Intro International Relations, AP Micro, AP Govt, AP Stats, AP Lit, Differential Calc, Service Learning (Internship)
IB exams (score in parentheses):n/a
Major Awards (USAMO, Intel etc.): NHS, Spanish HS, Girls State finalist, AP Scholar with distinction
Subjective:
For the following, indicate level of recognition or award (e.g. local, state, national, international) and/or leadership roles:
Extracurriculars: YMCA Youth and Government (State leadership position 2 years), Internship CA Retailers Assoc, Finance Intern on a Congressional Campaign
Job/Work Experience: Customer Service/Front Desk 10 hrs/week Senior year
Volunteer/Community service: Library (200+ hours), Peer Council for local probation department (150 hours)
Activities: Hula dancer, Girl Scout
Personal insight essay topics: Wrote about Leadership position in Y&G, Experience on Peer Council, hospitalization/surgery for heart condition summer after Sophomore year,and creativity involved in playing/DMing D&D
Letters of recommendation submitted: N/a
Demographics:
State (if domestic applicant): CA (Northern)
Country (if international applicant):
High school type: Large Public
Gender:F
Race/ethnicity:White
Applied for need-based financial aid?:No
Pell grant eligible?:No
Maximum Pell grant (FAFSA EFC = $0)
Highest level of parent education: professional doctorate both
Living with both, one, or no parents?:Both
Relation to alumni of college:No
Reflection
Strengths: well-rounded academically/ECs and specific passion/activities related to major
Weaknesses: GPA, did not take AP Calc/Physics. School does not have honors weighted courses
Why you think you were accepted/waitlisted/rejected: ???
Where else were you accepted/waitlisted/rejected:
Accepted: UofA (honors), SDSU, UofUtah (Honors), Simmons University (Honors/Kotzen scholarship), Temple U (Honors), LMU, UCI (CHC/Regents’ scholarship)
Awaiting: UCSB,UCSD,UCD,UCLA, Scripps, CMC, USC ",Berkeley,2024
6,"
Decision: Admitted
Merit scholarships awarded (if any):no
Major (and division if applicable) applied to:
Colleges of L&S
Academic stats:
Calculate your GPAs with https://rogerhub.com/gpa-calculator-uc/
UC Unweighted GPA: 3.85
UC Capped Weighted GPA: 4.11
UC Fully Weighted GPA: 4.49
ELC (top 9%): yessir
Comments about course load (including senior year):
SAT (total and sections): did not submit because 
ACT (total and sections): 32C: 34 E 32 M 31 R 30 S
SAT Subject Tests (if any): Math 2: 800 Biology M: 710 Chemistry: 720
AP exams (scores in parentheses): 3 in AP Bio, Lang, and World History, 4 in Chem, 2 in Calc (LOL)
IB exams (score in parentheses): no
Major Awards (USAMO, Intel etc.): none
Subjective:
For the following, indicate level of recognition or award (e.g. local, state, national, international) and/or leadership roles:
Extracurriculars: Section Leader, Varsity Marching Band; Section Leader, Concert Band; Varsity Track & Field; Captain/Founder, Science Olympiad; Ambassador of e-STEM academy program; Science and Engineering Research Project Mentor; United Sound Member (teach special education how to play); Principal Advisory Committee Member (handful of people chosen by principal to discuss how we can make the school a better place);HOSA Member: listed LIFE Health Internship that I planned to do this school year
Job/Work Experience: NONE, cause school itself was my job
Volunteer/Community service: Kaiser Permanente Hospital Volunteering (130+ hours)
Summer Activities: Kaiser Volunteering, Band Camp (which I didn’t talk about), took an English college course, sectional rehearsals, etc.
Personal Insight essays (details):
In the leadership essay talked about my leadership experience as a section leader what I gained from it as well as how this was applicable to wanting to study brain science. Another essay (educational opportunity) talked about my experience in my school’s e-STEM program in which catered to my interest in the medical field more and allowed me to do a research project. In the talent essay, I talked about my ability to communicate with other people how it’s allowed to build relationship with a variety of people from my school. I also related that to how it’s allowed to gain leadership positions and volunteer positions and stuff like that while adding a bit more of how it related neuroscience, psychology, and how we think and all that. In my last essay(passion), I talked about my absolute passion for neurobiology and I even gave it a theme around different brain concepts I was interested in. overall, that’s pretty much it. I felt my essays arched over the different themes in my life but they all tied into what I wanted to study somehow. So perhaps this is a good strategy
Letters of recommendation/Augmented Review: didn’t receive a request for this?
Demographics
State (if domestic applicant): IN-STATE SOCAL
Country (if international applicant): USA
High school type: Public (near 5000 students)
Gender: Male
Race: African-American
Applied for need-based financial aid?: yes
Highest level of parent education: 2 yr or associate degree (only one of em)
Living with both, one, or no parents?: both
Reflection
Strengths: my essays? Counselors said they were pretty solid. My ECs were also pretty good and I think that both of these combined carried my app
Weaknesses: MY STATS LOL, unweighted and capped were below 25th so them essays and ecs had to be good
Why you think you were accepted/waitlisted/rejected: Well-rounded applicant pretty much
Where else were you accepted/waitlisted/rejected: rejected to Stanford, accepted into every other UC (excluding R, SC, and M which I did not apply to), waiting on USC now
General Comments:
pretty cool, just waiting on USC and this admission season is complete. going to UCLA ",Berkeley,2024
7,"
SonDecision: Admitted
Major (and division if applicable) applied to: College of Letters and Sciences
UC Unweighted GPA: 4.0
UC Capped Weighted GPA: 4.27
SAT (total and sections): 1490 (Math: 800, English: 690)
SAT Subject Tests (if any): Math 2: 790, Physics: 730
State (if domestic applicant): California
Where else were you accepted/waitlisted/rejected:
Accepted: SDSU, UCSD, UCB
Waitlisted: UC Davis
Rejected: UCLA, UCI, SJSU (appealing decision)
Waiting: None ",Berkeley,2024
8,"
Decision: Rejected
Major : Mechanical Engineering
Academic stats:
UC Unweighted GPA: 4.0
Fully Weighted GPA: 4.53
UC Fully Weighted GPA: 4.77
Eligibility in Local Context?: Yes
Rank: 3/ ~165
Comments about course load (including senior year): 6 APs out of 7 classes total senior year, Cannot take AP classes until junior year at my school, Loaded up with honors & accelerated classes where APs weren't available.
SAT (total and sections): N/A
ACT (total and sections): 36 (35 Math, 36 Reading, 36 Grammar, 36 Science)
SAT Subject Tests (if any): 800 - Math II, 700 - Physics
AP exams (scores in parentheses): APUSH(5), Lang(4), Lit(Planned), Physics C(Planned), Calculus AB(Planned), Spanish Lang(Planned), Macroeconomics(Planned), Biology(Planned)
IB exams (score in parentheses): N/A
Major Awards (USAMO, Intel etc.): Eagle Scout
Subjective:
For the following, indicate level of recognition or award (e.g. local, state, national, international) and/or leadership roles:
Extracurriculars: Mock Trial Club Captain, Model UN delegate, , 3 years Student Government, 3 years Varsity Track & Field, 6 years playing Tenor Sax
Job/Work Experience: Courtesy Clerk @ Local Supermarket
Volunteer/Community service: 200+ hours tutoring underprivileged and special needs students
Summer Activities: N/A
Essays :
- Discovering a love for engineering at a young age & fostering that love as I grew up
- Experiences tutoring special ed children in low-income areas, specifically in math/science
- Overcoming PTSD from the Gilroy Garlic Festival Shooting
- Learning to adapt after half of my school's campus burned down in a wildfire
Demographics
State (if domestic applicant): In-State
High school type: Small, religious, competitive private school
Gender: Male
Applied for financial aid?: No
Highest level of parent education: Bachelor's Degree
Living with both, one, or no parents?: Both
Reflection
Strengths: Essays + Stats
Weaknesses: ECs related specifically to my major (Like robotics), Nationally-recognized ECs
Why you think you were accepted/waitlisted/rejected: Essays + Stats (Especially in comparison to other engineering majors from my school)
Where else were you accepted/waitlisted/rejected:
Accepted: Cal Poly SLO, UCSB (Regents), UCD (Regents), UCSD (Regents)
Waitlisted: N/A
Rejected: UCB ",Berkeley,2024
9,"
Decision: Admitted
Merit scholarships awarded (if any): N/A
Major (and division if applicable) applied to:
CNR - Microbial Biology
Academic stats:
Calculate your GPAs with https://rogerhub.com/gpa-calculator-uc/
UC Unweighted GPA: 3.64
UC Capped Weighted GPA: 3.93
UC Fully Weighted GPA: 4.08
Top 20% of class
Comments about course load (including senior year):
2 APs sophomore year, 4 junior year, 5 Senior year, 3 community college courses
SAT (total and sections): 1420 (1470 super scored)
ACT (total and sections):
SAT Subject Tests (if any): 750 Math II, 680 Chemistry
Major Awards (USAMO, Intel etc.): Mission Award by the Leukemia and Lymphoma Society for forming a team and raising $15k for blood cancer patients
Subjective:
For the following, indicate level of recognition or award (e.g. local, state, national, international) and/or leadership roles:
Extracurriculars:
President of the Biology Olympiad Club (co-founder as well), Co-President of the Math Club (co-founder as well), Vice President of Youth Movement Against Cancer Club (co-founder as well), Varsity cross country 9-11th grade (couldn't do it this year because of issues at home), Varsity volleyball 9-12th grade
Letters of recommendation submitted:
None
Demographics:
State (if domestic applicant): In-State (California)
High school type: Charter
Gender: Male
Race/ethnicity: Asian - Doesn't matter for UCs though.
Applied for need-based financial aid?: No
Reflection
HOW DID THIS HAPPEN!!! ECs and essays what got me in for sure. To future applicants, all I am going to say is that if you have below average grades and standardized test scores due to issues at home, don't give up!! Explain everything to the best of your abilities and remember to reflect on it well. 
Also, UCs are super random lol trust me when I say that you shouldn't give up. Ever.
Strengths: ECs and GPA
Weaknesses: GPA, SAT
Why you think you were accepted/waitlisted/rejected:
ECs
Where else were you accepted/waitlisted/rejected:
Rejected: JHU (ED), WashU, UCLA
Waitlisted: UC Davis, UC San Diego, UC Santa Barbara, UC Irvine, Carnegie Mellon University (Priority Waitlist), deferred at Tulane
Accepted: Creighton (25k per year), Fordham (29k per year), University of the Pacific (24k per year and Honors College), University of Pittsburgh, UC Riverside (Honors College invitation), UC Santa Cruz (early admit), UC Berkeley, USC (no scholarship) ",Berkeley,2024
