,gpas_uw,gpas_w,gpas_max,act_score,sat_score,stanford_admit,hook_admit,competetive,ap_count,ivy_admit,top_25_admit
0,4.0,6.106,7.0,30.0,1490.0,FALSE,1,1,38,FALSE,FALSE
1,2.8,3.0,3.0,,1500.0,FALSE,1,0,24,FALSE,FALSE
2,3.36,3.36,3.36,,1330.0,FALSE,0,1,13,FALSE,TRUE
3,3.99,3.99,3.99,30.0,1520.0,FALSE,0,0,14,FALSE,TRUE
4,3.9,3.9,3.9,,1550.0,FALSE,0,0,35,FALSE,FALSE
5,3.95,4.25,4.25,27.0,1200.0,FALSE,0,0,56,FALSE,FALSE
6,3.9,4.2,4.6,,1370.0,FALSE,0,1,31,FALSE,TRUE
7,3.8,3.8,3.8,34.0,1500.0,FALSE,0,0,4,FALSE,FALSE
8,,,,,,FALSE,0,0,1,FALSE,FALSE
9,3.752,93.8,93.8,36.0,1590.0,FALSE,0,0,2,FALSE,TRUE
10,4.0,4.3,4.56,28.0,1420.0,FALSE,0,0,53,FALSE,FALSE
11,4.0,4.0,4.0,36.0,1590.0,FALSE,0,1,39,FALSE,FALSE
12,3.75,4.25,4.25,32.0,1430.0,FALSE,0,1,28,FALSE,FALSE
13,4.0,4.575,4.575,31.0,1450.0,TRUE,1,0,16,FALSE,TRUE
14,4.15,4.15,4.15,,1340.0,FALSE,0,1,9,FALSE,FALSE
15,3.93,3.93,3.93,31.0,1400.0,FALSE,0,0,50,FALSE,FALSE
16,3.47,3.5,3.5,,1420.0,FALSE,0,1,22,FALSE,FALSE
17,3.55,4.2,4.2,,,FALSE,0,0,5,FALSE,TRUE
18,3.95,4.8,5.3,35.0,1550.0,FALSE,0,1,35,TRUE,TRUE
19,3.75,4.218,4.218,,,FALSE,1,0,38,TRUE,TRUE
20,3.83,3.83,3.83,,1490.0,FALSE,1,1,52,FALSE,FALSE
21,3.77,4.33,4.33,,1590.0,FALSE,0,1,15,FALSE,FALSE
22,4.0,4.6,4.6,36.0,1560.0,FALSE,0,0,41,FALSE,FALSE
23,3.8,3.97,3.97,,1590.0,FALSE,0,1,29,FALSE,FALSE
24,3.7,4.6,4.6,,1540.0,FALSE,0,0,5,FALSE,FALSE
