,body,school,class_of
0,"
Wishing everyone the best tommorow!
Pick one:
Decision: Accepted
Decision: Waitlisted
Decision: Rejected
State intended major
Objective:
SAT I (breakdown):
ACT:
SAT II:
Unweighted GPA (out of 4.0):
Rank (percentile if rank is unavailable):
AP (place score in parenthesis):
IB (place score in parenthesis):
Senior Year Course Load:
Major Awards (USAMO, Intel etc.):
Subjective:
Extracurriculars (place leadership in parenthesis):
Job/Work Experience:
Volunteer/Community service:
Summer Activities:
Essays:
Teacher Recommendation:
Counselor Rec:
Additional Rec:
Interview:
Other
State (if domestic applicant):
Country (if international applicant):
Intended major(s):
School Type:
Ethnicity:
Gender:
Income Bracket:
Hooks (URM, first generation college, etc.):
Reflection
Strengths:
Weaknesses:
Why you think you were accepted/waitlisted/rejected:
General Comments: ",Duke,2024
1,"
Pick one:
Accepted into Pratt
State intended major:
Electrical & Computer Engineering
Objective:
SAT I (breakdown): 1580 (780 R / 800 M / 20 W)
ACT: 36 (36 / 36 / 36 / 36 / 10)
SAT II: 800 Math II, 800 Chem
Unweighted GPA (out of 4.0): 4.0
Rank (percentile if rank is unavailable): 2/500, probably going to be val
AP (place score in parenthesis): APWH (5), AP Calc BC (5), AP Lang (5), AP Physics C Mech (5), APUSH (4), AP Chem (4)
IB (place score in parenthesis): School doesn't offer
Senior Year Course Load: AP Lit, AP Psych, AP CSA, AP Macro, AP Stats, AP Gov, AP Bio, German 3, Chamber Orchestra
Major Awards (USAMO, Intel etc.): USACO Silver, NMSQT Semifinalist (probably finalist), National AP Scholar
Subjective:
Extracurriculars (place leadership in parenthesis): research, competition music, professional quartet (i.e. paid private events), varsity tennis/jv track, hackathons, work, hella clubs with tons of leadership
Job/Work Experience: two tech internships, shift lead at local ice cream store, local football league
Volunteer/Community service: club tutoring, fundraising events, orchestra volunteering
Summer Activities: traveled to S. Korea (talked abt in essays!), COSMOS, tech internships/work, visited colleges, hung out with friends 
Essays: Common App 8/10, lots of people overrate theirs but I honestly think mine were pretty good. An essay consultant said of all the clients he's had my essays stood out to him the most and said I was practically a shoo-in. Pushed diversity in my essay theme.
Why Duke 7/10, focused on interdisciplinary nature of Duke, cliche topic but I think I made it work by spending less time on what it was and more on what it meant to me
Diversity 7/10, focused on how I was a twin and segued into how I came from the countryside instead of the bay area. ""quirky asf. love it"" -my friend
Teacher Recommendation: 6/10, ap chem teacher probably a bit above average, really enthusiastic to write my letter but I barely talked in her class lmao
7/10, ap cs teacher had my older brother and me for a looooong time, absolutely loves me, idk how good his writing skills were though
Counselor Rec: 7/10, usual public school overworked counselor, I definitely stood out to him though since I was the only one going for top colleges and had the stats to do so
Additional Rec: 10/10, retired german teacher, she's basically a mom to me. I was the best in her class and she's such a lovely person I have no doubt this was a 10/10
Interview: 4/10, lol the worst part of my app, lasted barely 20 minutes but we had some pleasant conversation I guess?
Other
State (if domestic applicant): CA
Country (if international applicant): USA
Intended major(s): ECE
School Type: Uncompetitive Public
Ethnicity: Asian (S. Korean)
Gender: Male
Income Bracket: <100k
Hooks (URM, first generation college, etc.): none 
Reflection
Strengths: perfect test scores, course rigor, class rank, worse school so I stood out more, really pushed diversity as my ""spike"" (doesn't make sense ik), had a personality?
Weaknesses: asian male stem, no major awards
Why you think you were accepted/waitlisted/rejected: test scores + essays + ED boost carried me no doubt
General Comments:
I've always been mad at the fact I went to an uncompetitive public school compared to schools like Monta Vista or something but it's honestly a blessing in disguise. It's much easier to stand out, especially with the less rigorous classes. The important part: the first part of admissions is region based. Your app first goes to a regional officer and every college wants diversity so they're more inclined to take an insane asian male stem from a region that's uncompetitive than your everyday bay area asian male stem. Otherwise if you're shooting for top colleges, really push the diversity aspect and make sure your personality comes through . For underclassmen I hella recommend doing a summer program (COSMOS UCD represent!) because it definitely made me more extroverted and sure of what I wanted. ",Duke,2024
2,"
ACCEPTED!
*Econ Major? Stats?
*Stats: ACT 35, SAT 2 Math 2 800; AP Stats 5, Lang 5, Physics 4
*GPA W 4.3 (not sure unweighted, but using Naviance, his GPA was a little light for past Duke acceptances from his HS which on average they accepted 4.4 GPA).
*9 AP classes (took on-line Alg 2 class after freshman year to jump ahead to pre-calc)
*Public HS, white male, no financial aid requested
*Triple legacy (Dad undergrad and Fuqua, Mom Fuqua, Uncle undergrad.) But we have only made small donations throughout the years, haha.
*Varsity Wrestling Captain (captain of freshman baseball and JV football.
*Tons of long term community service organizations - worked in public library children's dept for 5 summers, President's Volunteer Service Award 2 years, HOBY ambassador, Best Buddies, Appalachia Service Trips
*Spent last 2 summers doing academic programs at Georgetown and Montana Learning Center - Lewis and Clark Expedition Program.
*Funny, yet insightful essay on how wearing a wrestling singlet strips away (did not use THAT word, lol) facades and allows one to expose (did not use that word either) vulnerabilities which allow engaging and honest sideline discussions and friendships with competitors.
* Good alumni interview - but interviewer was stiff, so not sure a great connection was made.
*Strengths: ACT score. EC's - Community Service involvement and leadership through HOBY and team Captainships. Really strong Guidance Recommendation
*Weakness: Grades could have been a little higher. One B Junior year, a few A-. Only submitted 1 subject test (the other tests taken, Physics 740 and Lit 730 were not strong enough to submit.) No summer job on resume.
*Why he got in - triple legacy plus President's Volunteer Service Awards, 2 years. Overall well rounded applicant. ",Duke,2024
3,"
Accepted!!! Trinity : )
State intended major: Math
Objective:
* SAT I (breakdown): 1450 (780 M/ 670 R/ 18 W)
SAT II: Math 2: 800 Bio E: 570 (ik...)
*Unweighted GPA (out of 4.0): 3.83
Rank (percentile if rank is unavailable): School doesn’t rank
*AP (place score in parenthesis): AP Human Geography, AP Physics, AP Psychology, AP Chemistry, AP Language and Composition, AP Biology, AP Calculus AB, College Credit Music (Advanced Guitar)
Senior Year Course Load: Global Issues, AP Biology, AP Calculus AB, 21st Century Media (School News Show), Advanced Guitar Year III, Math Senior Experience Project, Yoga
*Major Awards (USAMO, Intel etc.): track awards, principal scholar every year, a couple Robotics Team awards
Subjective:
* Extracurriculars (place leadership in parenthesis): Track and Field, UNICEF(secretary), Robotics Team, Girls Who Code, Femmes of Rock(Founder and President), Critical Films Study Club(President)
Job/Work Experience: Mathnasium Instructor Now and Worked at Olive Mediterranean Grill
* Volunteer/Community service: 21 service hours from working around the school
* Summer Activities: 2018 worked at
Olive Mediterranean Grill, 2019 Carnegie Mellon’s SAMS (Summer Academy of Math and Science)
* Essays:
PS: 9/10 I think it was pretty solid, I spent a lot of time on it. I reminisced about a family tradition of mine and how it’s faded out over the years and how I miss it and regret taking advantage of it.
Why Duke: 8/10 Was very specific and I contrasted my Chicago atmosphere to Duke’s campus culture and was specific about things like research opportunities and classes I wanted to take.
Diversity: 7/10 I think it was pretty unique and I talked about my love for my Nigerian identity that wasn’t easy for me due to bullying of me being different.
*Teacher Recommendation: I honestly don’t know. I think I picked teachers that I enjoyed working with and that knew my work the best. This was my psych and math teacher.
*Counselor Rec: 8/10 I think this was fine. I think I created somewhat of a relationship with my counselor and the form I filled for the rec was very specific and expressive of me.
*Additional Rec: 8/10 I got a rec from my Chemical Engineering instructor from my SAMS program and I created a nice relationship with her.
* Interview: 6/10 Bad. I rambled and stumbled my words and he asked me when was the last time I read a book and I went MUTE.
Other
State (if domestic applicant): Illinois (Chicago)
Country (if international applicant): U.S.
Intended major(s): Math
School Type: Public, selective enrollment
Ethnicity: Black (Nigerian)
Gender: Female
Income Bracket: <$150k
Hooks (URM, first generation college, etc.): Sibling legacy (i don’t know if that’s legit)
Reflection
Strengths: My math subject score and essays were great, definitely did a lot of extracurriculars that I was interested in and were guided by my possible majors.
Weaknesses: Bio subject test score and interview : (
Why you think you were accepted/waitlisted/rejected: I think I demonstrated a drive to want to learn and expand my knowledge given the opportunity at such an institution.
General Comments: Trust the process. ",Duke,2024
4,"
Decision: Accepted into Trinity!!!
Intended Major: Economics
Objective:
SAT I (breakdown): 1590, 800 Reading 790 Math, 7/5/8 Essay
ACT: Didn’t take
SAT II: US History (720), Chemistry (790), Math II (800)
Unweighted GPA (out of 4.0): 4.0
Rank (percentile if rank is unavailable): 1/400+
AP (place score in parenthesis): Human Geography, US History, Statistics, BC Calculus, 5s on all
IB (place score in parenthesis): Economics SL (7)
Senior Year Course Load: Full IB: HL English, HL History, HL Math, HL Chemistry, SL Spanish, TOK, Peer Tutoring
Major Awards (USAMO, Intel etc.): National Merit, state level mock trial awards, regional math, business, writing awards
Subjective:
Extracurriculars (place leadership in parenthesis):
Mock Trial, 10-12 (Co-Captain)
Tutoring Club, 10-12 (President, Founder)
Podcast published by organization, 12
Tobacco activism club, 11-12
Volunteer at Museum, 10-12 (Team Lead)
Job/Work Experience:
Tutoring Center tutor, 9-12
Paid tobacco activism work, 12
Volunteer/Community service:
Tutoring Club, 10-12 (President, Founder)
Volunteer at Museum, (Team Lead)
Summer Activities:
Internship at local courthouse, 12
Business competition, 12
Essays: take these ratings with a heaping serving of salt
Common App: 7/10, cliche and cringey in my opinion, but others liked it
Why Duke: 9/10 see Reflection
Diversity: 7/10 see Reflection
Teacher Recommendation:
1: 7/10, we’re not very personally close but I think he likes me a lot
2: 5/10, probably pretty average
Counselor Rec:
8/10, although we’re in a pretty big public school we’ve interacted a lot over the past 4 years and so it’s probably better than some other counselor recs
Additional Rec: None
Interview: 6/10. Got it about 2 weeks after I applied, was about 45 minutes. It was my first interview so I was nervous and didn’t know exactly what to expect, but it was very casual. I would say it was pretty average, I probably came off as a bit bland.
Other
State (if domestic applicant): CO
Country (if international applicant):
Intended major(s): Economics and History, also indicated interest in Child Policy Research
School Type: Average Public HS, 2000+ population
Ethnicity: Asian, Chinese
Gender: Female
Income Bracket: That sweet spot where I don't qualify for FA but paying full-price will be a burden
Hooks (URM, first generation college, etc.): Underrepresented state? See Reflection
Reflection
Strengths: Test scores/GPA and unique ECs
Weaknesses: Interview and letters of rec were probably average
Why you think you were accepted/waitlisted/rejected:
I think my strongest selling point was definitely the fact that I was involved in tobacco activism. In my Diversity and Why Duke supplements I talked about how I wanted to pursue it at Duke, given that it was essentially built using tobacco money and it’s located in the state that produces the greatest amount of tobacco.
General Comments:  ",Duke,2024
5,"
I know this is a bit early, but I wanted to create a discussion dedicated to results and decisions. This is where students can share statistics, what school they applied to (Trinity or Pratt), essays, extra curricular activities, etc... ",Duke,2024
6,"
Hmm, I think you should specify this is for 2024 just for future years. ",Duke,2024
7,"
Might as well just make a new one following the same format as previous years’ ",Duke,2024
8,"
Heres the format for whoever wants to use it!
Pick one: Trinity or Pratt
Decision:
Major:
SAT I (breakdown):
ACT:
SAT II:
Unweighted GPA (out of 4.0):
Rank (percentile if rank is unavailable):
AP (place score in parenthesis):
IB (place score in parenthesis):
Senior Year Course Load:
Major Awards (USAMO, Intel etc.):
Subjective:
Extracurriculars (place leadership in parenthesis):
Job/Work Experience:
Summer Activities: See work experience
Essays:
Common App X/10) -
Why Duke (X/10) -
Diversity (X/10) -
Teacher Recommendation:
Teacher (X/10)
Counselor Rec: (X/10) -
Additional Rec: (X/10) -
Interview: (X/10) -
Other:
State (if domestic applicant):
Country (if international applicant):
School Type:
Ethnicity:
Gender:
Income Bracket:
Hooks (URM, first generation college, etc.):
Reflection:
Strengths:
Weaknesses:
Why you think you were accepted/waitlisted/rejected:
General Comments: ",Duke,2024
9,"

Pratt
Decision: Accepted!!!
Intended major: Mechanical Engineering
Objective:
ACT: 35 (35M, 35S, 35E, 33R)
ACT Writing: n/a
SAT I: n/a
SAT II: n/a
Unweighted GPA (out of 4.0): 3.96 (4 A-‘s as a FR; 1 A- as a SO; otherwise all A’s)
Weighted GPA: 4.58
Rank (percentile if rank is unavailable): HS does not officially rank (but w/in top 5% of 162)
AP: US History (4); limited AP classes available FR-JR; took advanced/honors classes when available
IB: n/a
Senior Year Course Load (w/ 1Q Grades Submitted to Duke):
AP Calc BC (90)
AP US & Comp Gov (96)
AP English Lit & Lang (95)
AP Stats (94)
Advanced Health Topics (98)
Doctrine & Apologetics (100)
Major Awards (USAMO, Intel etc.): None
Subjective:
Extracurriculars:
Varsity Doubles Tennis FR-JR year (Co-Captain as JR; State Runner-Up & Sectional Champ as JR; State Top-10 & Sectional 3rd Place as SO; 1st Team All-State as JR; 2nd Team All-State as SO; All-Sectional Team as SO & JR; Conference Champ as FR, SO & JR; State Finals Sportsmanship Recipient as JR; HS records for most wins in a season & most career wins in first three seasons; inducted into HS’s hall of honor)
Project LEAD as JR & SR (selected by faculty & staff to join small group of upperclassmen who mentor and lead programs for underclassmen)
Volunteer/Service: 300+ Hrs (organized student groups to pack food for impoverished children around the world; student leader for two weeklong service trips to the Dominican Republic to construct new classrooms in poor rural community; four-year sponsor of young boy in DR; child sponsor advocate at local schools & churches)
Summer Activities: 30+ hrs/week training for tennis
Job/Work Experience: part-time tennis instructor; part-time lifeguard
Essays:
10/10 Common App Personal Statement (told story of significant personal growth during difficult two-year period in HS when dad had car accident, brain tumor and stroke)
10/10 Why Pratt? (told story of how first service trip to DR sparked desire to become engineer and how Duke’s global engineering certificate and other opportunities to make global impact make Duke an ideal fit)
9/10 Diversity Essay (told story of being a proud member of a recognized Native American tribe and how this heritage provides a unique perspective on overcoming hardship which will lead to meaningful contributions to the Duke community)
Teacher Recommendation: 10/10 (APUSH teacher and chaperone for 10-day Winterim trip to Europe; excellent letter based on significant interaction both inside and outside of classroom)
Teacher Recommendation: 9/10 (head of math department and teacher for advanced college algebra and advanced pre-calculus; did not see letter, but highly confident it was very strong; could be 10/10)
Counselor Rec: 7/10 (new to HS this year; only moderate interaction)
Additional Rec: 8/10 (former Pratt student and basketball player who currently serves on HS board of trustees and serves as personal mentor; excellent letter, but unclear how much weight will be given to one-year relationship)
Interview: 10/10 (based on feedback from alumna who said it was one of the best interviews she has ever conducted)
Other
State: IL
School Type: Private Christian (just received National Blue Ribbon award, but no previous enrollees into Duke)
Ethnicity: Native American (enrolled tribal member), White
Gender: Male
Income Bracket: Top; no request for Financial Aid
Hooks (URM, first generation college, etc.): possibly URM if mix of Enrolled Native American & White counts as a URM
Reflection (written before decision was received): feels like an attempt at a half-court buzzer beater, but proud and grateful for the opportunity to take the shot
General Comments: nothing but the bottom of the net!!! It is a miracle! Unbelievable!!! Go Blue Devils!!! ",Duke,2024
10,"

Pick one: Pratt
Decision: Accepted
Major: Computer Engineering
SAT I (breakdown): N/A
ACT: 36 (36R, 36S, 35E, 35M, 6W(My counselor made sure to explain the circumstances in her letter though))
SAT II: 800 Math II, 740 Chemistry
Unweighted GPA (out of 4.0): Not sure 5.07 Weighted (on a weird scale)
Rank (percentile if rank is unavailable): 3/220
AP (place score in parenthesis): Calc AB (5), Calc BC (5), World History (4), Modern European History (5), APUSH (4), English Lang (5), Chem (4)
IB (place score in parenthesis): N/A
Senior Year Course Load: Advanced Topics Calculus III, AP Literature, AP Physics, Honors Cybersecurity (my school does not offer AP Comp Sci), Ethics IV (4 years of Ethics required), Study Hall (Sem 1), Music History (Sem 2), AP Latin
Major Awards (USAMO, Intel etc.): AP Scholar w/ Distinction, National Merit Semifinalist, Sewanee Book Award for Excellence in Writing
Subjective:
Extracurriculars (place leadership in parenthesis):
Cross Country 9-12 (Varsity senior year),
Track and Field 9-12
Jewish Student Union 11-12 (President and Founder)
Key Club 10-12
Junior Classical League 9-12
Honor Council 10-12
BBYO 9-12 (Vice President, Secretary)
(Might be forgetting one)
Volunteer work: My school requires 16 hours as a freshman and sophomore and 24 hours as a junior and senior. I did write about my work at an inner-city community center tutoring kids.
Job/Work Experience: Internship in an IT department during summer of senior year, Dishwasher at a restaurant during summer of senior year
Summer Activities: See work experience
Essays:
Common App (10/10) - It was probably the best thing I've ever written. It was about caring for my father who has Parkinson's Disease. I worked on it for months, and a bunch of friends and teachers read over it until it was the best it could be.
Why Duke (8-9/10) - I'm also really proud about this essay; it was very heartfelt and honest about why I loved Duke, which clubs I was interested in, and what made me want to apply ED. Such little space though!!
Diversity (X/10) - N/A - The most diversity I have is Judaism, and I already noted my involvement in starting a Jewish Student Union on the common app extra page. It was a tough choice, but I'm happy I didn't waste time filling out this essay.
Teacher Recommendation:
-Computer Science Teacher (?/10) Honestly, I have no idea how good this is. He's from Kenya, but my counselor said that he was a good writer. I had him for three years, and he is one of my closest teachers.
-Math Teacher (7-8/10) I never read it, but I'm sure it was a good letter. He was an amazing teacher and seemed eloquent. I had a good relationship with him but I wouldn't say I was closest to him.
-Junior Year English Teacher (7-9/10) I never read this one either, but this is definitely a good letter. Her class was very writing-intensive, and I think she probably learned a lot about me through my writing. I also had to fill out a detailed application for her to have when writing it, so I'm sure it was very good. She was a wonderful teacher, and she helped me through the process when I was trying to dispute the 6 on the ACT writing. (Another reason I asked her was actually to justify my 6 on the ACT writing.)
Counselor Rec: (8-10/10) - I filled out a 15 page information sheet for her to draw from, and she definitely knew me pretty well separately from that. I'm sure she wrote an amazing letter that filled in any holes that were not in my application.
Additional Rec: (10/10) - She was someone who has seen me grow up, and she is one of the best writers I know. When I said my common app was the best thing I ever wrote, this is even better.
Interview: (X/10) - N/A - I was really worried when I never received any email from Duke until December, but it turned out that not having an interview did not prevent me from getting in.
Other:
State (if domestic applicant): TN
School Type: Private Catholic
Ethnicity: White (But I chose ""prefer not to answer"" on the application)
Gender: Male
Income Bracket: Not sure probably middle?
Hooks (URM, first generation college, etc.): Not really - I was not a legacy, I was not first generation, I am a white male, I applied for financial aid. The only special ""hook"" was that I checked off that I was dependent on a veteran, but I never really mentioned it throughout the rest of my application, so I don't think it affected me
Reflection: Today was one of the hardest, most stressful days of my life. When I stepped onto the campus, I knew that this was where I wanted to go. Every second all day I was refreshing the page. I am so lucky that I have been accepted into this awesome university.
Strengths: High scores (other than writing), GREAT essays, PHENOMENAL letters, extracurriculars that I participated in consistently, good volunteer service
Weaknesses: White, male, South
Why you think you were accepted/waitlisted/rejected: Honestly, I don't know why I was accepted over some applicants who I am sure have better stats than I do. I'd say the most important thing I did on the common app was FILL OUT THE EXTRA PAGE. It is a free 650 words that no one seemed to mention. There were plenty of people I talked to who didn't even know about it. It's a crime that it's not widely discussed. I used it to expand on some of my extra curriculars, and I included a thank you note at the bottom for reading my application. (I'm not advising whether or not to do this to get in; I just think it's important to thank them for their time. I wouldn't be surprised if they didn't even notice it.)
General Comments: THANK G-D!! Congratulations to everyone who got in, and to the people who didn't, I'm so sorry!
For those who see this and still have time before applying, do the extracurriculars you enjoy, start your essay as soon as possible (it shows), and try your hardest all around. ",Duke,2024
11,"
Pick one: Trinity
Decision: ACCEPTED
Major: Global Health (Co-Major) and Marine Biology
SAT I (breakdown): Didn't take it
ACT: 34. (35 English, 35 Reading, 30 Math, 35 Science)
SAT II: 800 (Spanish)
Unweighted GPA (out of 4.0): 3.87
Rank (percentile if rank is unavailable): School does not rank, but in top 10% of class.
AP (place score in parenthesis): World (4), Spanish (5), Human Geography (4), US History (4), Computer Science (4), Calculus AB (4), Physics 1 (3), Psychology (5), Microeconomics (4), Macroeconomics (4), Lang (5)
IB (place score in parenthesis): N/A
Senior Year Course Load: Physics, Calculus, Micro, Macro, Sports Medicine, Psychology, Sociology
Major Awards (USAMO, Intel etc.): AP Scholar with distinction. NHS Member, Homecoming King of the school (elected by principal and members of the community)
Subjective:
Extracurriculars (place leadership in parenthesis):
Soccer (4 year varsity captain)
Student tutor and advisor
Great Outdoors Club (president, 4 years)
Self Taught Musician (recommended for schools Jazz Band)
Writer and editor for my schools paper.
Student Government council (senator)
Job/Work Experience:
Bed Bath Beyond cashier and stock-boy
Worked on a local farm in Costa Rica as a translator and guide
Summer Activities: See work experience
Essays:
Common App 9.7/10) - This essay was one of the best essays Ive ever written. I talked about having to move into my aunts house (a person I had never met before) and to a new country as well. Overcoming these two challenges were some of the hardest things i've ever had to do, but overall, made me who I am today.
Why Duke (9.6/10) - I had recently moved from Costa Rica to the United States, so understanding how to integrate into a new community was very challenging, however, Dukes community is very similar to what I used to have so its a perfect fit.
Diversity (10/10) - I had a lot to say for this essay because I had just moved internationally from Costa Rica. Seeing this culture shock in America really brought some perspective into my world and helped me with a struggling sense of community and integration.
**Very important though, I did not write a sob story, your essay should be about how you have faced adversity and overcome it, in whatever aspect of your life that it may be, not asking for pitty**
Teacher Recommendation:
Teacher (7/10) - My English teacher of two years. We had a good relationship and connection, but he did not really know too much about what I was like outside of the classroom, making it kind of difficult to talk about me.
Teacher (8/10) - My US History teacher. I had a very good relationship with her especially because she managed an after school club with me. She knew me outside of the classroom and I generally participated a lot in her class as well. She liked that I was outgoing and an active member.
Counselor Rec: (10/10) - She played such a major role in my acceptance. She was in my corner every step of the way and guided me along the path. She knew EVERYTHING about me and my story. She was very sympathetic and I got to know her very well and personally over the course of 4 years. When it was time to write my letter, she knew me like a family friend basically.
Additional Rec: (9/10) - My soccer coach and sports medicine teacher. He knew me as a leader in an environment that was not academic. I was the captain of the team and thus, he entrusted me with a lot of responsibility. This however, led him to write me a great letter of rec.
Interview: (6.9/10) - Pretty standard interview, nothing crazy or out of ordinary. I did know the answers to all questions he asked, but wasn't ready for a couple of them which was evident.
Other:
State (if domestic applicant): New York
Country (if international applicant): USA
School Type: Public
Ethnicity: Hispanic
Gender: Male
Hooks (URM, first generation college, etc.): Nope
Reflection: It can be very easy for students like myself to drive themselves nuts about the ""what if's?"" of their situations. Today was one of the most stressful days of my life and in part because I kept asking myself what if this? what if that? Whatever happens, needed to happen and thats ok.
Strengths: Standardized test score, AP Curriculum, Essays
Weaknesses: GPA, Achievements?
Why you think you were accepted/waitlisted/rejected: I think my passion for Duke really shined through my essays. I didn't just tell them how great they were but instead, I talked about why I would be great at Duke. I think the admissions counselors really can tell when someone is genuinely in love with the school or just the name. I think there are definitely people with better stats and records than me but I think my story and voice really helped.
General Comments
I am really by NO means trying to brag or anything, I just want to post what would have helped me when I was applying. I hope this helps in some way. I think there is also a certain level of randomness that goes into these decisions. Nonetheless,  GO Blue Devils!!! ",Duke,2024
12,"
Trinity
Decision: Accepted!
Major: PPE
SAT I (breakdown): N/A
ACT: 33 (30 Math, 35 English, 32 Reading, 33 Science)
SAT II: N/A
Unweighted GPA (out of 4.0): 4.0
Rank (percentile if rank is unavailable): 11/693
AP (place score in parenthesis): Human Geo (4), WHAP (5), US Gov (-)
IB (place score in parenthesis): Spanish B SL (5), Math SL (4), rest testing in May
Senior Year Course Load: AP U.S. Gov, IB Physics HL, IB Lit HL, IB TOK, IB Math Studies SL, IB Art History SL, IB Economics HL, IB History of the Americas HL
Major Awards (USAMO, Intel etc.): N/A
Subjective:
Extracurriculars (place leadership in parenthesis):
- Speech and Debate: 6 years; mentored and competed at 14+ tournaments nationally and regionally (Team Captain)
- Debate coach for three middle schools
- HS Democrats for America (President)
- TX JSA (President, GCR Senator)
- Philosophy Club (VP, Co-Founder)
- Environment Club (Webmaster, Co-Founder)
- National Honor Society
- IB Ambassador Diploma Program
Job/Work Experience:
- Worked on City Council Campaign
Summer Activities:
- Houston Summer Debate Camp: set up annual non-profit camp for middle schoolers to coach Lincoln-Douglas debate; had around forty students
- Two debate camps for Lincoln-Douglas debate
Essays:
Common App (8/10) - Wrote about debate but put a unique spin on the topic which I thought was interesting and fresh; talked about how I used debate to break down echo chambers between my friends and the larger contexts to which I applied those skills like politics, etc.
Why Duke (8/10) - Wrote about SOL and Hart Leadership Program. Thought it was good and very specific to the pedagogy that Duke strives for: education through student engagement. Specifically mentioned my plans to partner with certain groups to fight gerrymandering problems in NC
Diversity (9/10) - Felt this essay was the best one. Wrote about being a mixed kid and the hardships of both carrying inauthenticity but also stereotypes of people of color. Thought it was interesting since I used that narrative and tied it to political work I did and explained how I used my identity as a tool to organize support.
Teacher Recommendation:
Teacher 1 (8/10) - This was from my Physics teacher from the last two years. She also sponsored my school Democrats club I led and other political organizations and has similar alignments to myself.
Teacher 2 (9/10) - Felt that this letter was probably good as I had a strong bond with my US History/TOK teacher over the last two years and he already knew what he wanted to write about me before I asked.
Counselor Rec: (7/10) - We got new counselors senior year, however, this was my good friend's mom so maybe she wrote an okay letter.
Additional Rec: (9.5/10) - This was a letter from my debate coach from the past three years. She had a lot to say about the ways in which I engaged the debate community using both my mentoring skills and identity position and I felt that resonated with Duke's overall message.
Interview: (9.5/10) - Interviewed with a corporate lawyer I had already spoken to at a previous Duke info session and we had similar interests in comic books and political affiliations. I would put 10 but the interview was a while back so I may have forgotten about some things.
Other:
State (if domestic applicant): Texas
Country (if international applicant): N/A
School Type: Public
Ethnicity: Asian, Hispanic
Gender: Male
Income Bracket: ~250,000 +
Hooks (URM, first generation college, etc.): Hispanic
Reflection:
Strengths: ECs, GPA, LOR, and Supps
Weaknesses: My ACT was a little below average overall and I think I had little national-level awards for my ECs. Also am a debater which my regional officer said was a little generic.
Why you think you were accepted/waitlisted/rejected: I think my ECs, major, and essays really aligned with each other to make one cohesive narrative about me as a student with political passion. I also think that the hobbies I listed in the additional info section helped round out my nerdy side and paint another side to me.
General Comments: I'm so fortunate to attend Duke next fall. So Blue, Blue and Blue! ",Duke,2024
