,body,school,class_of
0,"
Haven’t seen another results thread so made this for tomorrow when results are released! Good luck to everyone  Please only post results.
Just remove the 'a' below.
[aB][asize=4][acolor=#008000]Decision: Accepted[/color][/size][/b]
[aB][asize=4][acolor=#FFA500]Decision: Deferred[/color][/size][/b]
[aB][asize=4][acolor=#FF0000]Decision: Rejected[/color][/size][/b]
Objective
SAT I (breakdown):
ACT (breakdown):
SAT II:
Unweighted GPA (out of 4.0):
Weighted GPA:
Rank (percentile if rank is unavailable):
AP (place score in parenthesis):
IB (place score in parenthesis):
Senior Year Course Load:
Major Awards (USAMO, Intel etc.):
Subjective
Extracurriculars (place leadership in parenthesis):
Job/Work Experience:
Volunteer/Community service:
Summer Activities:
Essays (rating 1-10, details):
Recommendations (rating 1-10, details):
Teacher Rec #1:
Teacher Rec #2:
Counselor Rec:
Additional Rec:
Interview:
Other
Applied for Financial Aid?:
Intended Major:
State (if domestic applicant):
Country (if international applicant):
School Type:
Ethnicity:
Gender:
Income Bracket:
Hooks (URM, first generation college, etc.):
Reflection
Strengths:
Weaknesses:
Why you think you were accepted/waitlisted/rejected:MODERATOR'S NOTE:
This thread is only for results. Posts not complying will be deleted. ",Stanford,2024
1,"
Decision: Rejected
Objective
ACT (breakdown): C35, E35, M35, R36, S35
SAT II: 790 Math 2, 760 Chem
Unweighted GPA (out of 4.0): 3.94
Weighted GPA: 4.53
Rank (percentile if rank is unavailable): 10%
AP (place score in parenthesis): 5 Chem, 5 Lang, 5 APUSH
Senior Year Course Load: AP Calc BC, AP Physics C, AP Lit, AP Gov, Honors Engineering, summer python class at CC
Subjective
Extracurriculars/Volunteering (place leadership in parenthesis): Extensive leadership, Local wildlife restoration, leader in basketball camps, tutor, homemade bike stands, cabinetry, etc...
Job/Work Experience: Summer job 12th grade
Essays (rating 1-10, details): 7-8, pretty unique
Recommendations (rating 1-10, details): 8, both AP teachers in classes that I loved
Counselor Rec: Generic (Class of 800)
Additional Rec:
Interview: 7/10
Other
Applied for Financial Aid?: No
Intended Major: Mechanical Engineering
State (if domestic applicant): CA
Country (if international applicant):
School Type: Large public
Ethnicity: White
Gender: Male
Income Bracket: High
Hooks (URM, first generation college, etc.): N/A
Reflection
Strengths: Grades, Test scores, LoR
Weaknesses: Maybe not unique enough essays
Why you think you were accepted/waitlisted/rejected: Too stereotypical; white, middle class kid from wealthy city. ",Stanford,2024
2,"
Decision: Accepted
SAT I (breakdown):
First time: 1510 Math:800 EBRW: 710
Second Time:1560 Math:800 EBRW: 760
SAT II:
Math 2: 800
Physics: 800
French: 790
World History:790
Unweighted GPA (out of 4.0): 4.0
Weighted GPA: 4.5
Rank (percentile if rank is unavailable): 1/551
AP (place score in parenthesis):
Freshman Year: AP World Geography (5)
Sophmore Year:
AP Modern World History (5)
AP Psychology (5)
Junior Year:
AP French Language (5)
AP Language & Composition (5)
AP Calculus BC (4)
AP US History (5)
AP Biology (5)
Took a Philosophy Course over the summer at local community college
Senior Year:
AP Music Theory
AP Macroeconomics
AP Microeconomics
AP American Government
AP Chemistry
AP CSA
Senior Year Course Load:
Marching Band
Wind Ensemble
AP Music Theory
AP Macro
AP Micro
AP American Gov
AP Chemistry
AP CSA
French 5
Multivariable Calculus (At Local CC)
Major Awards (USAMO, Intel etc.):
Subjective
Extracurriculars (place leadership in parenthesis):
French Club (President since Sophomore year)
Odyssey of the Mind
Marching Band 9-12
Wind Ensemble 10-12
Jazz Band 10-12
All-State Wind Ensemble for sophomore and junior year
Academic Decathlon 10-12
Local Astronomy Club
I also included that I had created several apps with 10,000+ downloads.
Job/Work Experience: None
Volunteer/Community service:
Volunteered at a local homeless shelter that primarily served LGBTQ+ racial minorities
Volunteered for alliance Français
Those were the main ones but I also volunteered occasionally at dog shelter
Summer Activities: N/A
Essays (rating 1-10, details): 9. Wrote mostly about my experience serving my local homeless shelter and experience with music.
Recommendations (rating 1-10, details):
Teacher Rec #1: French Teacher 9/10
Teacher Rec #2: Band Director 9/10
Counselor Rec: N/A
Additional Rec: Founder of the homeless shelter I volunteered for 10/10
Interview: None
Other
Applied for Financial Aid?: Yes
Intended Major: Computer Science
State (if domestic applicant): California
School Type: Public
Ethnicity: Asian
Gender: Male
Income Bracket: ~80000
Hooks (URM, first generation college, etc.): First generation
Reflection
Strengths: Good grades, meaningful EC's
Weaknesses: Didn't do a lot of summer activities, not a lot of opportunities to do much else.
Why you think you were accepted/waitlisted/rejected: My EC's were unique and my grades were really good. I also think being a first generation from a low-tier high school really set my application apart. ",Stanford,2024
3,"
ObjectiveDecision: Rejected
SAT I (breakdown): 1520 (800 CRW 720 Math), One sitting
ACT (breakdown): N/A
SAT II: 730 US history
Unweighted GPA (out of 4.0): 3.87
Weighted GPA: 4.23
Rank (percentile if rank is unavailable): 7/325
AP (place score in parenthesis): 5 (USH, USGOVT, World, Bio, Lang) 4 (Calc AB, CSP) 3 (Chem)
IB (place score in parenthesis): N/A
Senior Year Course Load: AP Stat, AP Human Geo, AP Calc BC, AP Lit
Major Awards (USAMO, Intel etc.): N/A
Subjective
Extracurriculars (place leadership in parenthesis):State Youth Advisory Committee (Legislative Chairman), City Human Rights Advisory Committee, GSA (Co-Founder)
Job/Work Experience:
Volunteer/Community service: STEM Development Camp for Underprivileged Children (Curriculum Developer)
Summer Activities:
Essays (rating 1-10, details):
Average of 7.5 b
Recommendations (rating 1-10, details):
Teacher Rec #1: IDK
Teacher Rec #2: IDK
Counselor Rec: IDK
Additional Rec: N/A
Interview: Merde
Other
Applied for Financial Aid?: Yes
Intended Major: Sociology
State (if domestic applicant): MD
Country (if international applicant):
School Type: Rural
Ethnicity: White
Gender: Male
Income Bracket: 200k+ with atypical assets
Hooks (URM, first generation college, etc.):
N/A
Reflection
Strengths: Essays
Weaknesses: SAT Math, ECs, Interview
Why you think you were accepted/waitlisted/rejected:
poor overall application relative to rest of field ",Stanford,2024
4,"
Decision: Deferred
Objective
SAT I (breakdown): n/a
ACT (breakdown): 35 (36 eng/ 35 math/ 36 reading/ 32 science)
SAT II: n/a
Unweighted GPA (out of 4.0): 4.0
Weighted GPA: 4.71
Rank (percentile if rank is unavailable): 29/846
AP (place score in parenthesis): 5- psychology, lang, music theory, spanish lang. 4- physics, biology, apush, compsci
IB (place score in parenthesis): n/a
Senior Year Course Load: AP Physics 2, AP Lit, AP Calc BC, AP Gov/Macro, AP French, Orchestra
Major Awards (USAMO, Intel etc.): National merit Semifinalist, National AP Scholar, member of 2018 TX state champion orchestra
Subjective
Extracurriculars (place leadership in parenthesis): Orchestra (President), Mu Alpha Theta (Secretary), French National Honor Society (Co-President)
Job/Work Experience: I play monthly gigs at a church
Volunteer/Community service: 120+ hours at hospital over summer, 100+ hours of altar serving at church, tutor elementary students
Summer Activities: hospital volunteer/internship/shadowing program
Essays (rating 1-10, details):
Common app: 8/10. Talked about being a minority in many different ways (race, gender, etc) and got really philosophical about music and space and time and how it affects my life.
Roommate: 8/10. Very true to myself, showed fun aspects of my personality.
Learning: 9/10. Quirky story about what made me love physics (my intended major).
Meaningful: 9/10. Talked about volunteering at a hospital and how I now see the world through the eyes of all the people I met.
Recommendations (rating 1-10, details):
Teacher Rec #1: Physics teacher: 10/10. Have had him 2 years, am able to talk to him about basically anything.
Teacher Rec #2: Orchestra director: 10/10. Probably talked about how she moved schools the year I became president so I had to take over parts of her job.
Counselor Rec: 7/10. I go to a big public school so counselors do not know people well so I asked my principal to write mine and although he doesn’t know me that well, I think it carries weight that my principal wrote it instead of counselors (?)
Additional Rec: French teacher: 7/10. Have had her 2 years, knows me relatively well because I’m co-pres of FNHS.
Interview: 10/10. Went extremely, overwhelmingly well. Interviewer said I was one of the best candidates he has ever interviewed. Had a genuine conversation and by the end we were making jokes and he was roasting me in a family-like way (lol). Said I make him excited for the future of Stanford and the world.
Other
Applied for Financial Aid?: Yes
Intended Major: Physics
State (if domestic applicant): Texas
Country (if international applicant):
School Type: large public school (~4000 students)
Ethnicity: Hispanic
Gender: Female
Income Bracket: upper-middle class
Hooks (URM, first generation college, etc.): race, lgbt, my major is traditionally very male dominated
Reflection
Strengths: submitted arts portfolio for cello, minority, very good interview
Weaknesses: no major national/international awards
Why you think you were accepted/waitlisted/rejected: strong academics and was very personal in my essays, but didn’t have any national rankings or competitions to push me over the edge for acceptance.
Hoping for the best in regular decision! ",Stanford,2024
5,"
Hey everyone, I hope this helps, and I wish you the best of luck in your applications!Decision: AcceptedObjective
SAT I (breakdown): Didn't Submit
ACT (breakdown): C36, E36, M36, R36, S36. Writing: 10/10/10
SAT II: Chem: 800, Phys: 800, Math II: 800
Unweighted GPA (out of 4.0): 4.0
Weighted GPA: 4.55 (Stanford didn't see this)
Rank (percentile if rank is unavailable): No rank available, Top 1%
AP (place score in parenthesis):
9th:
AP Calculus AB (5)
AP Physics C: Electricity & Magnetism
10th:
AP World History (4)
AP Chemistry (5)
AP Computer Science A (5)
11th:
AP Spanish Language (4)
AP Calculus BC (5) - AB Subscore (5)
AP Physics C: Mechanics (5)
AP US History (5)
AP Psychology (5)
AP English Language & Composition (5)
12th (in progress):
AP Microeconomics
AP Literature & Composition
AP Environmental Science
AP Government & Politics
IB (place score in parenthesis): N/A
Senior Year Course Load:
Jazz Ensemble (Advanced)
Wind Ensemble (Advanced)
AP Environmental Science (AP)
AP Microeconomics (AP, 1st sem)
Aerospace Engineering (Regular, 2nd sem)
AP Literature & Comp (AP)
AP Government & Politics (AP)
Racquet & Net Sports (regular, 1st sem)
Walking & Yoga (regular, 2nd sem)
AP Music Theory (AP)Major Awards (As submitted in my Application, followed by level and grade):
1 of 11 students who represented USA @ intl Math Kangaroo Camp/Comp. 3rd place in both competitions. (Natl,Intl, 9)
United States Earth Science Olympiad: selected as alternate to the international team (Top 12 ntl). (Natl, 11)
Regional Champions, Tied for 7th place team at National Science Bowl, Top 40
individuals nationwide. (State/Rgnl, Ntl, 10)
Qualified to take the United States of America Junior Mathematics Olympiad (~Top 150 ntl). (Ntl, 10)
2019 National Merit Scholarship Semifinalist (ntl, 12).
Other awards mentioned in activities:
USA Astrophysics & Astronomy Olympiad NAO qualifier (top 50 US)
Captain of Washington State ARML Team (10-12) and member of Washington HMMT & PUMaC teams (10-11)
Part of choir, Top 3 at international festival in certain categories, Top 3 in NATS
Science Olympiad: 4 top 5 places at WA state.Subjective
Extracurriculars (place leadership in parenthesis):Job/Work Experience:
Private Tutoring & Kumon math teaching job (fairly self-explanatory)
Internship at UW optics lab (9)Volunteer/Community service:
Prez/founder of Science Infinity 501(c)(3) org. (Dedicated to promoting STEM in youth. Donated $10k+ to education for underprivileged youth, started new chapter in Kansas City. Indiv Gold PVSA award)
Environmental Strikes, Volunteering, education, etc.Summer Activities:
Participant at Stanford University Mathematics Camp (40 students internationally selected)
United States Earth Science Olympiad Summer camp (see awards)
International Math Camp (See awards)
School Clubs:
Science Bowl (VP, 10-12)
Science Olympiad (CoPrez, 12)
Math Club (Prez, 12)
Physics Club (CoPrez, 12)
Green Team (Environmental Club)
Other:
Research Project/Simulation on factors of a NetZero home, designed to educate and promote implementation of renewable energy and reduction of energy consumption in homes. Some awards to accompany the project (sustainable award at state Science Fair, winner of other smaller State competition)
Essays (rating 1-10, details):
Common App: 8/10. Pretty proud of this one. Depicted my experience at the Earth Science Olympiad, my growth as a person there - in terms of teamwork and my newfound desire to be a Climate activist and do research to help mitigate climate change.
Activity essay: 5/10. Talked about Science Infinity (nonprofit, see ecs) and my passion for teaching/helping others and its accomplishments. Not super proud of the way it was written, don't feel I expressed my passion fully.
Most Significant Challenge: 7.5/10. Feel like I used the 50 words in the fullest to express my concern for the changing climate.
Last 2 Summers: 7/10. I liked this, I covered the academic side of my summers by mentioning my summer camps, but focused on my favorite non-academic memory from each camp.
Historical Moment or event: 6/10. Talked about being a part of the control room of the Apollo 11 mission.
What 5 words best describe you. Took a risk here, not sure if they would've received it positively or not:
engagEd
compAssionate
eneRgetic
sponTaneous
insigHtful
Read, Listen, Watch: 5/10. Nothing special, talked about my interests like frisbee, a capella mashups, favorite shows, Earth Science and bollywood movies.
Looking forward to: 6/10. Talked about my hobby for Ultimate frisbee and interest in pursuing it.
Extra Hour: Meditation, inspired by my visit to Windhover while at Stanford.
Excited about learning: 8/10. Talked about the curiosity I feel when I learn something completely novel, used a specific example of a problem at Stanford Math Camp
Future Roommate: 7/10. Kinda stylistically different from my other essays, described my interests and how I imagined our time together would go.
Meaningful: 6/10. Why the Earth is meaningful to me. Not sure I expressed my passion as fully as I could've.
Recommendations (rating 1-10, details):
Teacher Rec #1: 8-9. English teacher, believe he had a high opinion of me. He wrote a rec for Stanford Math Camp, and he is a very good writer.
Teacher Rec #2: 7-8. Physics teacher. helped him a lot in class, believe he also has a high opinion of me.
Counselor Rec: 5-6. Counselor definitely has a good opinion of me, but haven't spent time with her or connected with her in a way I have with my teachers. That being said, I did provide a lot of personal details with ehr as part of my request for a recommendation.
Additional Rec: 9-10. Leader of United States Earth Science Olympiad. Believe he had a high opinion of me, and greatly appreciated me and my help at the camp. Would have definitely written a strong recommendation, IMO.
Interview: 6-7. Covered a lot about me, but no real conversation. Felt like an actual interview, not a conversation, as I've heard much of the interviews have been like.
Other
Applied for Financial Aid?: No
Intended Major: Indicated CS and Earth Sciences.
State (if domestic applicant): Washington
Country (if international applicant): USA
School Type: Public
Ethnicity: South Asian/Indian
Gender: Male
Income Bracket:
Hooks (URM, first generation college, etc.): none
Reflection
Strengths: Overall I think I am a well-rounded applicant. Stanford is my dream school and I think that showed. While no real legacy, many past United States Earth Science Olympiad students have gone to Stanford, and Stanford University mathematics Camp may have been looked upon favorably.
Weaknesses: My essays were definitely a weakness. Besides the common app essay, they were likely around average, even if they are good for my writing abilities.
Why you think you were accepted/waitlisted/rejected: I think a good portion of my acceptance rested on my achievements and recommendations, and my common app essay. My supplementals had some good ideas in my opinion but the message/writing/passion may not have come across as strongly. ",Stanford,2024
6,"
Decision: Rejected
Objective
SAT I (breakdown): 1570 Superscore. 800 Math 770 CRW. 1560 Highest singular. 790 Math 770 CRW
ACT (breakdown): n/a
SAT II: Math II - 800 Physics - 790 (counselor mentioned that school class prepared for only half of the material so had to study independently)
Unweighted GPA (out of 4.0): 3.94
Weighted GPA: School doesn’t have
Rank (percentile if rank is unavailable):
School doesn’t have
AP (place score in parenthesis):
9th grade: AP Calculus BC (5)
11th grade: AP Physics C Mechanics and E&M (both 5s)
School only offers a few APs but took the one class away from hardest course schedule possible
IB (place score in parenthesis):
Senior Year Course Load:
Seminar Lit: Seriously Funny (equivalent to AP)
Seminar History: Art History: Society and Conflict (equivalent to AP)
Seminar French: Advanced French film and lit (equivalent to AP)
HS Jazz Ensemble
Seminar Independent study in physics: fluid dynamics and intro to quantum mechanics (worked with 11th grade physics teacher not sure how this looks on app)
Seminar math: data science (equivalent to AP)
Major Awards (USAMO, Intel etc.):
Subjective
Extracurriculars (place leadership in parenthesis):
USCF Chess Expert, Peak rating 2026, top 100 in the US for my age, placed 9th in a national tournament once
Bari sax player, all district jazz ensemble last year, final round all state audition last year, final round all state audition this year (haven’t heard back to see if I made it)
JV/Varsity/Church basketball, 8th grade defensive player of the year, JV mvp sophomore year, played on varsity but quit and now play for my church
Research, coded at local startup that was analyzing data for Coca-Cola
Job/Work Experience:
Have been a chess coach at my school since 6th grade and also coach privately. Worked at chess summer camps throughout the years too.
Volunteer/Community service:
Taught kids in underserved communities chess for 2hr a week on Sundays with local non profit
Worked at a local recycling center and farm for a few weeks
Summer Activities:
Attended an astrophysics program at brown, taught chess, traveled to Machu Picchu, visited Stanford, played basketball
Essays (rating 1-10, details):
Common app: 8. Talked about chess and how it affected my growth as a person. Had a few laughs and was written well and explained a lot of independent study and work that I do and why I do it
Activity: 7. Talked about bari sax and what I’ve done and why i love it
Biggest challenge: 9. Talked about how my grandpa died from smoking and related it to vaping epidemic. Thought it was more personal than others I read
2 summers: 5. Talked about all the stuff I did was basic but informative
Historical moment: 9. Talked about witnessing the unveiling of Michelangelo’s piety and seeing the public reaction to the first statue to beat the classical period. Thought it was unique for stem kid
5 words: 6. Had a little character. Chess, Curious, Logical, Honest, Pizza-lover
Read, Listen, Watch: 8. Talked about binging comedy with my dad and had a dumb and dumber joke
Looking forward too: 8. Mentioned how I got to chat with Leonard Susskind, stabford prof and architect of string theory and how I wanted to have experiences with the leaders in their field and such
Extra hour in the day: 9. Talked about learning to play guitar again to connect with my dad and grandpa who always play when we are together
Learning experience: 10, talked about how my I was named Carl Sagan and related it to growing up watching his movies and cosmos which inspired me to look at EFE and all this stuff as a kid and inspired me to learn math and physics which led to me taking Calc BC as a freshman. My counselor loved this one
Future roommate: 10. Talked about my addiction to pizza Napoletana. Was light and funny and counselor loved it as well
Meaningful: 7. Talked about my grandpa who has a Purple Heart and post war issues and how I don’t get to see him much but when I do we always go play basketball and eat IHOP.
Recommendations (rating 1-10, details):
Teacher Rec #1: History teacher. Had her 2 years. 9ish I was the best student in the class last year she liked me.
Teacher Rex #2: Math teacher. Could either be a 7 or an 11. Had him freshman and sophomore year and am the only person in decades to take calc as a freshman at my school. Did pretty well in class but wasn’t insane. Depends on how well his opinion was boosted by me taking calc as freshman and multi variable sophomore.
Counselor Rec: 9. He said it was good but wouldn’t make or break application. I go to small school so he spend more time on it.
Additional Rec: N/a
Interview: 10/10. I destroyed this it went for 2 hrs and me and my interviewer had a great convo.
Other
Applied for Financial Aid?: No
Intended Major: Physics, Math, Music
State (if domestic applicant): GA
Country (if international applicant):
School Type: Private
Ethnicity: White
Gender: Male
Income Bracket: 200k ish
Hooks (URM, first generation college, etc.): none
Reflection
Strengths: Have placed top 10 nationally in a competition. Great SAT Scores. Unique essays overall. Grades probably average for Stanford. Good other extracurriculars.
Weaknesses: My school doesn’t offer a lot of APs so maybe my schedule strength was a weakness even tho I took bc and multi freshman and sophomore year. My top ten nationally wasn’t in academia which would have helped. None of these school rly understands how hard chess is compared to math and science and stuff
Why you think you were accepted/waitlisted/rejected:
No legacy, didn’t pay my way in, white, male, didn’t have anything to push me over the top. I thought I had a good shot but didn’t have the slightest academic push to send me over the edge despite bringing 0 diversity. Surprised I didn’t get deferred tho I thought was gonna at least be competitive for a spot but I had no chance. Hopefully will get into Yale as it’s my second school good luck with anyone here who got deferred/hasn’t applied yet 🙃 ",Stanford,2024
7,"
Decision: Rejected
SAT I (breakdown): 1590 (790 reading, 800 math)
ACT (breakdown): n/a
SAT II: 800 Math 2, 800 Chemistry, 760 US History
Unweighted GPA (out of 4.0): 4.0
Weighted GPA: 4.5
Rank (percentile if rank is unavailable): No ranking, maybe top 1%
AP (place score in parenthesis):
- Calculus AB (5)
- Chemistry (4)
- Chinese (5)
- Spanish (4)
- US History (5)
IB (place score in parenthesis): n/a
Senior Year Course Load:
- AP Physics
- AP Bio
- AP Comp Lit
- AP US Gov (first semester) / AP Macroeconomics (second)
- AP Calculus BC
- Environmental Science
Major Awards (USAMO, Intel etc.):
- Woman FIDE Chess Master (international award)
- National Merit Semifinalist
- AP Scholar w Distinction
Other awards mentioned elsewhere: national chem olympiad qualifier, gold/silver medal at Academic Decathlon regional competition, World Youth Chess Championship qualifier 2017-2019 (international), co-champion of North American Youth Chess Championship (NAYCC) U20 Girls 2018, co-champion of NAYCC U16 Girls 2017
Subjective
Extracurriculars:
- Chess (played for 10+ years)
- Chess club (founder/prez)
- Entrepreneur (5 years, sell art creations online, 60+ sales)
- Academic Decathlon club (captain)
- Fencing (3 years, recreational, no tournaments)
- Badminton (school team, varsity)
- Violinist (10+ years, played at Carnegie Hall w/ symphony, accepted to 2018 CA honors orchestra, now playing for an ensemble that performs at state capitol, senior centers, etc)
Job/Work Experience: after school art instructor
Volunteer/Community service:
- founder of local non-profit/volunteer group that teaches art lessons at events/bday parties to fundraise for another group that assists people with special needs
- active lifetime member of NHS, CSF, Key Club
- art exhibitor (display my art creations at museums, libraries, festivals, etc)
Summer Activities: UC Davis Young Scholars program (lab research)
Essays (rating 1-10, details):
- Common app: 9/10. Talked about how art has influenced my life and how I wouldn't be the same person w/o it. Evolved from introvert to extrovert. Probably was too long and dense since I used 650/650 words lol.
- Roommate: 10/10. I was able to display the fun, quirky side of my personality and conveyed my passion for a broad range of activities. Also showed that I am very open minded and receptive to new ideas.
- Learning: 9/10. My experiences at UCD research program and how it changed the way I think about the natural environment. Discussed some thought provoking ideas and demonstrated my interest in envi sci.
- Meaningful: 10/10. Talked about how chess has shaped me into the resilient individual I am today. Inspirational story
Recommendations (rating 1-10, details):
Teacher Rec #1: 9/10. Chem teacher, had him for 2 years. We can literally have lengthy chats about anything and he inspires me every day. He seemed overwhelmed w rec letters tho (tons of people requested him) so I'm not sure how much time/care he was able to put into mine.
Teacher Rec #2: 9/10. English teacher, had him for 1 year. He is full of wisdom and I often engage in thought provoking conversations w him. He's a published author too so I think his letter was eloquent.
Counselor Rec: 10/10. We have met often and I think I made a good impression. Also helps that I have the same first and last name as her lmao.
Additional Rec: n/a
Interview: 9/10 natural dynamic and my interviewer provided lots of info about Stanford that helped me decide it was the perfect match for me! I think I provided a well rounded profile and asked specific questions abt Stanford. In hindsight tho, our interaction was a lil awkward at the beginning.
Other
Applied for Financial Aid?: No
Intended Major: Econ
State (if domestic applicant): CA
School Type: Public
Ethnicity: Asian
Gender: Female
Income Bracket: 100k
Hooks (URM, first generation college, etc.): none
Reflection
Strengths: unique ECs that I have participated in consistently (recognizable achievements), genuine essays that elaborated on my work
Weaknesses: ECs were scattered all over the place
Why you think you were accepted/waitlisted/rejected: GPA not high enough, relatively few AP tests compared to others ",Stanford,2024
8,"
MODERATOR'S NOTE:
Once again, this thread is only for results. Posts not complying will be (and have been) deleted. General discussions go on the following thread:https://talk.collegeconfidential.com/stanford-university/2134763-stanford-rea-2024.html#latest ",Stanford,2024
9,"
Decision: Rejected
Objective
SAT I (breakdown): 1510 (730 R, 780 M)
ACT (breakdown): 36 (36 E, 36M, 35R, 36S)
SAT II: 800 (math 2), 800 (physics)
Unweighted GPA (out of 4.0): 3.95
Weighted GPA: 4.664
Rank (percentile if rank is unavailable): 1/752
AP (place score in parenthesis):
Physics 1 (4)
World History (4)
Calculus BC (5, 5 - AB subscore)
Physics C E&M (5)
Physics C Mechanics (5)
US History (5)
English Language and Composition (5)
IB (place score in parenthesis): N/A
Senior Year Course Load:
AP Micro and Macroeconomics
AP Chemistry
AP Statistics
Multivariable Calculus and Linear Algebra
PLTW EDD
Dual Credit Speech (first semester)
English 4 for engineers (second semester)
Major Awards (USAMO, Intel etc.): N/A other than AP awards (AP+PLTW and Distinction)
Subjective
Extracurriculars (place leadership in parenthesis):
HHS Science Olympiad (Varsity since sophomore year, captain this year, 19 medals)
HHS Red Raider Robotics (VRC Driver control programmer, Excellence and Skills awards)
HHS Math Team (Varsity member, 13 ribbons/medals)
HHS Student Council (Treasurer since junior year)
HHS NHS
Job/Work Experience: N/A
Volunteer/Community service:
150+ hours from Student Council and NHS combined
- Tutoring and helping at my church's nursery
Summer Activities: Built a robot from scratch, taught myself calculus, traveled and visited colleges
Essays (rating 1-10, details):
- Common App: 8/10, went in-depth into how I modeled my mindset through my experiences and activities throughout my high school career. Was a bit broad and possibly wordy.
- Roommate: 9.5/10, gave a list of ""Fun Me Facts"" that gave a really good impression of my personality. Ended a bit abruptly because I couldn't fit everything in the word limit.
- Learning: 9/10, went into my fascination with mathematics and described it as the ""code"" of the universe. Might've been a bit technical, especially when I described the beauty of Fourier Series.
- Meaningful: 9.5/10, used a stuffed dog my parents gave me when I was a year old as a metaphor for change throughout my life. Made some commentary on how the outside world shaped my childhood and led to who I am today, but could have been a bit unorthodox.
Recommendations (rating 1-10, details): Waived FERPA, don't know specifics
Teacher Rec #1: 10/10, from my calculus (multi and single variable), economics, and stats teacher. He and I would often discuss high-level topics that were beyond the scope of the class in question, and he is without question my favorite teacher. Since I've had him for numerous different classes, he probably went into my academic excellence, ability to learn anything quickly and shift thinking styles, and insatiable curiosity.
Teacher Rec #2: 10/10, from my robotics coach and engineering teacher from sophomore to junior year (was also my SciO coach from freshman to junior year). She and I would often talk about various engineering topics and shared an immense interest in robotics. Probably talked about my passion and talent in engineering with emphasis on my problem-solving and communication skills, as well as my determination and strength as a competitor.
Counselor Rec: 7.5/10, I come from a large public school so she probably didn't go into too much detail. However we talked on at least a few occasions so it probably wasn't overly generic.
Additional Rec: 10/10, from my SciO coach and AP chemistry teacher who's known me since freshman year. She and I often joked around with each other and talked about general life things. Probably went into how I've grown into who I am today, with emphasis on how I interact with teammates and became a leader
Interview: Wasn't offered one, probably due to the fact that I live in a semi-rural area :-(
Other
Applied for Financial Aid?: Yes
Intended Major: Aeronautics and Astronautics
State (if domestic applicant): Illinois
Country (if international applicant): N/A
School Type: Public
Ethnicity: White
Gender: Male
Income Bracket: 125k
Hooks (URM, first generation college, etc.): (not sure if this counts but) mixed culture (dad is a Polish immigrant, mom is a US national)
Reflection
Strengths: Great test scores and transcript, recommendations were likely stellar, showed a massive spike in engineering throughout my application, extracurriculars showed a passion for collaboration and STEM, first in my rather large class
Weaknesses: Generic white male applying from a generic midwest public school, essays could have been better, lack of an interview that would solidify my personality, no prestigious awards
Why you think you were accepted/waitlisted/rejected:
Probably didn't stand out enough. My essays were average, extracurriculars were what everyone else was doing, and didn't have any prestigious awards to differentiate me from literally every other white person applying from a midwestern public school. However, I'm really not too disappointed. I knew going in that my chances were extraordinarily small, but I figured that trying was better than not knowing at all. Congratulations to everyone that got in, you deserve it! Now I'm going for Princeton, hoping to take what I've learned from Stanford and craft an exquisite application :-$ ",Stanford,2024
